Intervention,RS,NL,TES,VF
FF,"-0.24 (-1.58 , 1.11)","-0.24 (-1.91 , 1.42)","-0.07 (-1.74 , 1.61)","-0.22 (-1.74 , 1.3)"
RS,NA,"-0.01 (-1.57 , 1.55)","0.17 (-1.52 , 1.86)","0.02 (-1.56 , 1.59)"
NL,NA,NA,"0.18 (-1.99 , 2.35)","0.02 (-1.56 , 1.6)"
TES,NA,NA,NA,"-0.15 (-2.12 , 1.81)"
