simple_number,unique_contrast_count,contrasts_in_NMA,record_id,aggregated,wwc_rating,measure_type,intervention_content,unique_study_count,...10,sort to match WWC data export,sortcode,TO1_NNMA,full_citation,contrast_name,subtract duplicated comparison samples,Abbreviated Citation,Abbreviated Citation for NNMA Paper,publication_year,OLD Abbreviated Citation,...21,study_design,contrast_id,OLD DONT USE,...25,New disaggregate,simplified contrast name (intervention),simplified contrast name (comparison),Link to MRG,contrast_primacy,measure_type_details,measure_intention,grade_level_key...33,...34,...35,...36,measure_name,domain,13domains_granularWWC,domain_numeric,intervention_n,comparison_n,full_sample_size,es_id,effect_size,standard_error,variance,contrast_name...48,subtract duplicated comparison samples from multicontrast studies to calculate overall sample size,TvsT,FULL WP,PART WP,FRACTIONS,WHOLE NUMBERS,NL_TX,N_TX,SEO_TX,...58,TES_TX,ES_TX,TV_TX,VF_TX,SV_TX,F_TX,FA_TX,FG_TX,FGA_TX,FAO_TX,FGO_TX,PRB_TX,PRM_TX,BX_TX,FB_TX,FC_TX,FBO_TX,FCO_TX,FBC_TX,FI_TX,FE_TX,FWOF_TX,FF_TX,FIO_TX,FEO_TX,FIE_TX,RS_TX,RV_TX,R2D_TX,R3D_TX,GS_TX,MS_TX,NL_COMP,N_COMP,SEO_COMP,TES_COMP,ES_COMP,TV_COMP,VF_COMP,SV_COMP,F_COMP,FA_COMP,FG_COMP,FGA_COMP,FAO_COMP,FGO_COMP,PRB_COMP,PRM_COMP,BX_COMP,FB_COMP,FC_COMP,FBO_COMP,FCO_COMP,FBC_COMP,FI_COMP,FE_COMP,FWOF_COMP,FF_COMP,FIO_COMP,FEO_COMP,FIE_COMP,RS_COMP,RV_COMP,R2D_COMP,R3D_COMP,GS_COMP,MS_COMP,intervention_prelim,comparison_prelim,Included in NMAs when n=1 were excluded,Included in NMAs when n=1 were INcluded,intervention_lowdose,comparison_lowdose,intervention_hi_or_lo,comparison_hi_or_lo,intervention_combo,comparison_combo,classrooms,schools,geographic_loc,TvsTwithICcodes,TvsTwithoutICcodes,control_nature,active_passive,control_nature_numeric,comparison_desc,control_group_relevance,dosage_minutes_per-session,dosage_weekly_freq,dosage_weeks,dosage_overall_minutes,dosage_overall_minutes_midpoint,dosage_overall_hours,group_size,group_size_average,group_size_category,grade_level,grade_level_key...156,Technology,setting,measure_class,measure_developer,measure_developer_numeric,interventionist_desc,interventionist,interventionist_numeric,initial_training,initial_training_duration,initial_training_format,ongoing_training,ongoing_training_with NR,ongoing_training_duration,ongoing_training_format,SPED or MD? (SK)NO!,research_lab,Checked,...175,...176,...177,...178,group1_id,group2_id,FF,FF.RS,NL.FF.RS,NL.RS,RS,VF.FF.RS,VF.RS,BAU,NL.SE.FF.RS,NL.SE.RS,NL.SE.VF.RS,SE.RS
35,Unique,1,MI20759,IN,MWOR,Main,W,NA,NA,155,194,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting practice with deliberate practice vs. Pirate Math (word problem instruction) without strategic counting practice without deliberate practice,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,89407,Unique,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Vanderbilt Story Problems Grade 2,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,51,50,101,126,0.818,0.20559878272804782,0.042920338186759846,Pirate Math (word problem intervention) with strategic counting practice with deliberate practice vs. Pirate Math (word problem instruction) without strategic counting practice without deliberate practice,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N+SEO,BAU,FF+RS+N+SEO,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
37,NA,1,MI20759,IN,MWOR,Main,W,NA,NA,174,213,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Vanderbilt Story Problems Grade 3,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,49,50,99,127,0.715,0.2057332685707401,0.042990107709750564,NA,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
37,NA,1,MI20759,IN,MWOR,Main,W,NA,NA,169,208,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Double-digit Addition & Subtraction (Fuchs, Hamlett, & Powell 2003",Whole Numbers,Whole Numbers Computation,2,49,50,99,128,0.381,0.2012608315286144,0.04114129962894249,NA,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
37,NA,1,MI20759,IN,MWOR,Main,W,NA,NA,170,209,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Find X (Fuchs & Seethaler 2008) dichotomous,Whole Numbers,Algebra and Algebraic Reasoning,2,49,50,99,129,0.778,0.20686683337893483,0.04346515316429602,NA,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
37,NA,1,MI20759,IN,MWOR,Main,W,NA,NA,171,210,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Four subtests of the Grade 3 Math Battery (Fuchs, Powell, & Hamlett, 2003)",Whole Numbers,Whole Numbers Computation,2,49,50,99,130,0.518,0.2027766038818114,0.04176333498247784,NA,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
37,NA,1,MI20759,IN,MWOR,Main,W,NA,NA,172,211,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,KeyMath-Revised Problem Solving,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,49,50,99,131,0.551,0.20320867644146964,0.04194150164914451,NA,NA,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,published,independent,2,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
37,Unique,1,MI20759,IN,MWOR,Main,W,NA,NA,173,212,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., & Hamlett, C. L. (2010). The effects of strategic counting instruction, with and without deliberate practice, on number combination skill among students with mathematics difficulties. Learning and individual differences, 20(2), 89-100.",Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,NA,Fuchs et al. (2010),Fuchs et al. (2010),2010,Fuchs et al. (2010),Match,Randomized Control Trial,87213_disagg_a,Unique,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Vanderbilt Story Problems Grade 2,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,49,50,99,132,0.66,0.20481731376921428,0.04260816326530612,Pirate Math (word problem intervention) with strategic counting instruction without deliberate practice vs. Control,150,0,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,,,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,BAU,X,X,N+SEO+FWOF,BAU,RS+N+SEO+FWOF,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,84,31,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,0,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,0,1,0,0,-1,NA,NA,NA,NA
38,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,180,219,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Vanderbilt Story Problems,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,42,47,89,133,0.741,0.2175810643267719,0.048170844273305785,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
38,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,175,214,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Find X,Whole Numbers,Algebra and Algebraic Reasoning,2,42,47,89,134,0.546,0.21437321984120444,0.046760928542968705,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
38,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,176,215,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,W,GM,NA,Iowa Test of Basic Skills: Problem Solving and Data Interpretation,General Mathematics Achievement,General Mathematics Achievement,1,42,47,89,135,0.262,0.21139750136935417,0.045471760003642864,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,published,independent,2,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
38,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,177,216,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,KeyMath-Revised Problem Solving,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,42,47,89,136,0.401,0.21259756826418907,0.04598949595869904,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,published,independent,2,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
38,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,178,217,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Number Combinations Factor Score,Whole Numbers,Whole Numbers Computation,2,42,47,89,137,0.535,0.21422003669726322,0.04669412517218219,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
38,Unique,1,MI20760,IN,MWOR,Main,W,NA,NA,179,218,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Pirate Math (word problem intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87214,Unique,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Procedural Calculations Factor Score,Whole Numbers,Whole Numbers Computation,2,42,47,89,138,0.714,0.21708205127813202,0.04795014202611477,Pirate Math (word problem intervention) vs. Control,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,RV,BAU,FF+RV,BAU,FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
39,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,187,226,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Math Flash (number combination intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87215,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Vanderbilt Story Problems,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,44,47,91,139,0.265,0.20890821284682082,0.044389720120305225,NA,NA,0,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N+SEO,BAU,FF+RS+N+SEO,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
39,NA,1,MI20760,IN,MWOR,Main,W,NA,NA,181,220,TO1,"Fuchs, L. S., Powell, S. R., Seethaler, P. M., Cirino, P. T., Fletcher, J. M., Fuchs, D., ... & Zumeta, R. O. (2009). Remediating number combination and word problem deficits among students with mathematics difficulties: A randomized control trial. Journal of Educational Psychology, 101(3), 561.",Math Flash (number combination intervention) vs. Control,NA,"Fuchs, Powell et al. (2009)",Fuchs et al. (2009),2009,"Fuchs, Powell et al. (2009)",Match,Randomized Control Trial,87215,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Find X,Whole Numbers,Algebra and Algebraic Reasoning,2,44,47,91,140,0.232,0.20869605327275356,0.04429960473568984,NA,NA,0,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N+SEO,BAU,FF+RS+N+SEO,BAU,N or NL + TES or SEO + FF or FWOF + RS or RV,BAU,63,18,"Nashville, TN & Houston, TX",NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,,,,,20,,1,,3,,"Computer, software",,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
